SpotPrice,TradeType,Strike,Premium,Quantity,Price,Delta,Gamma,Vega,Rho,Theta,PnL
80,Call,100,5,1,0.055845344215367782359052983853280,0.01971170909047615,0.005986372795294426888652417538845727,1.910390967659986022329018844119283,0.3792310023426517912474689821078124,-0.8423102869488228526295567957795891,-4.944154655784632217640947016146720
80,Put,90,4,1,9.51614574405376427574530600558360,-0.8424762020681681,0.03014589998612911914805864564608031,9.620258713381698824935855146282432,-19.17587948976755155367896670276194,-0.012963102749166637164241342419100,-5.51614574405376427574530600558360
81,Call,100,5,1,0.078806542541123167968612142103400,0.026474057335973245,0.007580268872349309594659464380036914,2.479894307126042736617987168665425,0.5149832363074426866023460138865496,-1.097962486513311888862784308843274,-4.921193457458876832031387857896600
81,Put,90,4,1,8.6893052171274703029119284871460,-0.8106492780300547,0.03347731442589090939088000775728972,10.95214468783155884668968392542159,-18.53704822772091230483557669131585,-0.675298362087310080125678193554257,-4.6893052171274703029119284871460
82,Call,100,5,1,0.109368976626211106262711181503800,0.03495648700205489,0.009426496055640381629296076957316456,3.160505267128471079925529730989015,0.6873773400995845986577898150223402,-1.405528337439633015194600870144727,-4.890631023373788893737288818496200
82,Put,90,4,1,7.89592361955746750184537114112700,-0.7756015148197372,0.03656934505820640419512158194320663,12.26092993512085981508131302489332,-17.82484261086194117552857198313029,-1.343083131688801341067681782666078,-3.89592361955746750184537114112700
83,Call,100,5,1,0.149378179332477691762512450863600,0.04540945678781455,0.01151942278542441066957308345114246,3.956994314936864759041907885907580,0.9024225008194734964372914163600339,-1.768126408078581799965653815355228,-4.850621820667522308237487549136400
83,Put,90,4,1,7.13908385934076467836167721258700,-0.7376255240684526,0.03931705063197427460741970024548738,13.50565464336111928304276496028484,-17.04367729996995088638606198998744,-1.999003118222299031492202439193902,-3.13908385934076467836167721258700
84,Call,100,5,1,0.20092540531123191496993783422600,0.05807193031963165,0.01384153398302332848630362557471587,4.869914303760738530441349124061733,1.166075680766965009144481252288860,-2.187173112761143450238670749392603,-4.79907459468876808503006216577400
84,Put,90,4,1,6.42152454119044317693372634304760,-0.697113194300151,0.04162783673890961401280102864802593,14.64606436093529292890609808919254,-16.20025202870872485781087423895159,-2.625568677474768370639794845657039,-2.42152454119044317693372634304760
85,Call,100,5,1,0.266330132645104426341208110504800,0.07315912366762328,0.01636282026928998355411292013308737,5.894874113178867272790701645482944,1.483971998625648131514931676559077,-2.662037297867546342252256553705885,-4.733669867354895573658791889495200
85,Put,90,4,1,5.74554801400565150290650610574560,-0.6545406019534874,0.04342676745320360336880719623337249,15.64493914043563909182896893069997,-15.30333267228695705688901933047356,-3.206092937985316661647314550435044,-1.74554801400565150290650610574560
86,Call,100,5,1,0.348110141783309202884320658641400,0.09085004671441399,0.01904098818596844003329616117201404,7.022066040948743014593106086022581,1.861135459410199310349388548119541,-3.189792666251266346580952127632247,-4.651889858216690797115679341358600
86,Put,90,4,1,5.11294695972944885795229512855620,-0.6104482490557999,0.04466050770057087123953881978303442,16.47020792370488724944550612410799,-14.36341416560567085883194207314689,-3.725607480142031260854967465878642,-1.11294695972944885795229512855620
87,Call,100,5,1,0.448939363563872490585974580669600,0.11127568967493207,0.02182253960752400781716995398947719,8.236113429222345067275340408738522,2.301688090608561100127880310024839,-3.765098327694745183333888905893577,-4.551060636436127509414025419330400
87,Put,90,4,1,4.52495415525656889083812487311020,-0.5654181195371378,0.04529963600777421242221403299313648,17.09667835057463927749402292594249,-13.39229063151744584018155989987131,-4.171642371107482401932854070845490,-0.52495415525656889083812487311020
88,Call,100,5,1,0.57159454518178867324097112318640,0.13450871382065155,0.02464468804373268820751465040952358,9.516279585298959813439927973848971,2.808577196340369433246771582986404,-4.380227897765096135917820499267693,-4.42840545481821132675902887681360
88,Put,90,4,1,3.98221860895773784056948306926420,-0.5200492135992871,0.04533923998671162354004501385928829,17.50725686334007147223567827651625,-12.40256437237875408299129577891244,-4.534814018857146121853697593063360,0.01778139104226215943051693073580
89,Call,100,5,1,0.71889261422125967328504833036100,0.16055543259362304,0.02743800026159855897419930003028885,10.83704789400718927611555733536563,3.383340330634570878605645484759312,-5.025255045773003257028400694280309,-4.28110738577874032671495166963900
89,Put,90,4,1,3.48478835319710352174133562116280,-0.47493345748293536,0.04479787293148360371947601667424032,17.69358881403596185683186096938223,-11.40712825286364356470811381239949,-4.809185726346714973152323780475011,0.51521164680289647825866437883720
90,Call,100,5,1,0.89362135152921767628847605509700,0.18935072196994535,0.03012958298330181845179200698156074,12.16904965314617649632187102824621,4.025925671081352350569174462975816,-5.688389624583187780375881328257991,-4.10637864847078232371152394490300
90,Put,90,4,1,3.03207688627231868492942232390060,-0.4306340713788466,0.04371509052669212323020351265287709,17.65610587793137892369791522370195,-10.41866312669461549131117104513686,-4.992387499805698329046497933571059,0.96792311372768131507057767609940
91,Call,100,5,1,1.09846654908809495707170895981800,0.22075629203032932,0.03264658417096454313364506515452886,13.48028442756050610663235204117738,4.734581913249699884456094478511129,-6.356445071678741291940710242902171,-3.90153345091190504292829104018200
91,Put,90,4,1,2.62305971455583690737987087761804,-0.38766503200406355,0.04214788891516695576676952655256962,17.40352153298152355675723437619078,-9.449185106986935386634433561269155,-5.085504480783670216223375443755678,1.37694028544416309262012912238196
92,Call,100,5,1,1.33593918168129485415704634873240,0.25456250667215574,0.03491975183226555293521374360027777,14.73755119739994812768796434710547,5.505826959798054859045777485658497,-7.015406161773764462165130199218400,-3.66406081831870514584295365126760
