SpotPrice,TradeType,Strike,Premium,Quantity,Price,Delta,Gamma,Vega,Rho,Theta,PnL
80,Call,100,5,1,0.053563710461990203747491424110630,0.019082309527608754,0.005855840928620196117454275475328823,1.848199657471360830232144580634570,0.3632106702937093437334952652877899,-0.8231986914507206088467726896365579,-4.946436289538009796252508575889370
80,Put,90,4,1,9.51613078725286379574873938592780,-0.8442750128666052,0.03008459793631589735566718252931950,9.495193650037238197434831857497041,-19.00063524244469912771886724584521,0.002078054980629128262037605543494,-5.51613078725286379574873938592780
81,Call,100,5,1,0.075828043513556231091233303561420,0.025707650923010084,0.007437279299930476780946243687196747,2.406377563734766001351472611956138,0.4947513734589683604432575415875952,-1.076244373799390191841204431455886,-4.924171956486443768908766696438580
81,Put,90,4,1,8.68746799950669792799588255153230,-0.812487338302664,0.03346086943056397963327958140570358,10.82647056989245345993149046512795,-18.36960223611513253019076556065180,-0.665788166577481311079152544479808,-4.68746799950669792799588255153230
82,Call,100,5,1,0.105550938996991288149260054122930,0.03404228422666483,0.009274583967525095064451016976204027,3.075401223993143806537842398079093,0.6622807481727595327851139592573599,-1.381541870332251022859909760253772,-4.894449061003008711850739945877070
82,Put,90,4,1,7.8922479689663286095556523849150,-0.777432134518697,0.03660099678350380288445359595693657,12.13668998000283012342867404515094,-17.66507252042452995852057182093794,-1.340017897470617281423536965043080,-3.8922479689663286095556523849150
83,Call,100,5,1,0.144569102896584937031804506542100,0.04434078570156735,0.01136326873015878754536720824606230,3.860460408430548503013964022240807,0.8718204107671656442935276559211262,-1.742416971157953003649103726815358,-4.855430897103415062968195493457900
83,Put,90,4,1,7.13360151869461908645709158931960,-0.7394000972828887,0.03939735914064158130470547843477081,13.38452418673380318838202277206094,-16.89135031064573782679763902202401,-2.002977662738878012839466239276742,-3.13360151869461908645709158931960
84,Call,100,5,1,0.194969624007477488025442609016700,0.05684730788398379,0.01368679801534794872699048523690278,4.762555732420034400426877050519378,1.129365428608888982130712781338348,-2.160491147838260567951625146180886,-4.805030375992522511974557390983300
84,Put,90,4,1,6.41431571482607889899574572590410,-0.6987839295043456,0.04175461999274938184978531976724188,14.52923500284688864961468079048949,-16.05505457914301325180717017899005,-2.636803683717237301691917039257969,-2.41431571482607889899574572590410
85,Call,100,5,1,0.259073446445453358011099080318500,0.07178310855328873,0.01621587274860419552951646622743921,5.777737673851988968328135262263815,1.440614165075528718572605706222836,-2.635318151202510688614574415849041,-4.740926553554546641988900919681500
85,Put,90,4,1,5.73673916378487148932155110374690,-0.6560631977584914,0.04359527206869134823605159406057007,15.53305515762550894558956756955211,-15.16490407559752779188750575160882,-3.224411265263067795643377786565031,-1.73673916378487148932155110374690
86,Call,100,5,1,0.339406153444549488233359245357300,0.08933377766032286,0.01890855399295446741543808462401287,6.896597194449432190915659699138940,1.810676398029834198517801829911899,-3.164118242904985643679933515316119,-4.660593846555450511766640754642700
86,Put,90,4,1,5.10270601869460848173157997463860,-0.6117842933367619,0.04486378722852799754602100396314446,16.36335963331363351754105535233690,-14.23138074550425169686532108963691,-3.750443644561054802920847907496399,-1.10270601869460848173157997463860
87,Call,100,5,1,0.438656168629505519591964760048300,0.10963703581252876,0.02171128316710294924606629886396024,8.104078469184768479038553789312961,2.243777904754642997360885401631927,-3.741642343189069286889918084023886,-4.561343831370494480408035239951700
87,Put,90,4,1,4.51348354770688155673433330878590,-0.5665370261212965,0.04552908994098306725527020396607506,16.99445005956004400891226570710000,-13.26629707896813954823586300764584,-4.202083394253032868266086810945148,-0.51348354770688155673433330878590
88,Call,100,5,1,0.55962136456543259951956115661060,0.13277199492975966,0.02456077425886580304363607619270475,9.379658754772116651106948629053218,2.742981580911801570529423276452181,-4.360188426675806449422377422895582,-4.44037863543456740048043884338940
88,Put,90,4,1,3.96974664906270070879400320893120,-0.5209295641539393,0.04558525304637705229741780287439374,17.40882080175504414474666967689701,-12.28229957949271868436016517480495,-4.569666577092409904384369148739543,0.03025335093729929120599679106880
89,Call,100,5,1,0.70514593373244177739060913260320,0.1587507045834241,0.02738667020647908562191212513444748,10.69790867040924851581401429365217,3.309945231992622687766699117988253,-5.009779632820031900353788407169009,-4.29485406626755822260939086739680
89,Put,90,4,1,3.47156082502406382463575565565940,-0.4755636664616454,0.04505048896530548369251750256490522,17.59783182382281179228263728968001,-11.29234367838341204991018632605300,-4.847062104878169505336834973549315,0.52843917497593617536424434434060
90,Call,100,5,1,0.87805014560422725987199698894260,0.18751266169733605,0.03011478248750758166995162326513322,12.02941174432494828881276718347550,3.944734374367237127702795263000456,-5.678499233334029092538563119504452,-4.12194985439577274012800301105740
90,Put,90,4,1,3.01834533648678109456140785839410,-0.43101241173109917,0.04396465825920339758900184815929844,17.56177307997768881259128370576232,-10.30918250768688650824801837604238,-5.031801518376665089690229008886643,0.98165466351321890543859214160590
91,Call,100,5,1,1.08105621636125746450593260367430,0.21892275144205153,0.03267067839531597405212886203119608,13.34198898698358700421094107745765,4.645704862569558517519085111422776,-6.352963464075503210788285499422980,-3.91894378363874253549406739632570
91,Put,90,4,1,2.60907293528287502440941038305346,-0.38779903765612966,0.04238562642660208354293614324625588,17.30936083259302575835038728894332,-9.344905979668933335881772423218660,-5.124968180674303372160613525292226,1.39092706471712497559058961694654
92,Call,100,5,1,1.31671390344055532394287565850870,0.25277283521160715,0.03498335032499385276163952895542124,14.60214627044784747239619302350892,5.409465271897143076288058056806075,-7.018900889816324519293195678648272,-3.68328609655944467605712434149130
