SpotPrice,PnL,Delta,Gamma,Vega,Rho,Theta
100,-1715.36,-0.9928302141959826,0.0019903415399452062,0.995170769972603,-0.6942010407369493,-0.3633582559521938
105,-1720.36,-0.9750454473849074,0.005557724979784752,3.063695895106344,-2.52454070689006,-1.0992513226980347
110,-1725.36,-0.9326132950404906,0.011853228301763169,7.171203122566717,-7.099141244458519,-2.5135241868037608
115,-1730.36,-0.853376008766594,0.019968275815121,13.204022382748757,-16.030344842376394,-4.480091710980684
120,-1735.36,-0.7341546583539246,0.027339446385281036,19.684401397402347,-30.054308674145876,-6.371045125253647
125,-1740.36,-0.5859764994548649,0.03117132595934416,24.352598405737623,-48.21416791707971,-7.330330966441064
130,-809.36,-0.43053982144425196,0.030221539188259948,25.537200614079655,-68.03033631720103,-6.813363429771811
135,-309.36,-0.29033601385488106,0.025369619324465166,23.11806560941888,-86.59713746494346,-4.9173693705203805
140,190.64,-0.17981251832357725,0.018730596964587707,18.35598502529595,-101.78022450725254,-2.253382784755753
145,690.64,-0.10257897958309803,0.012329966091969192,12.961876854182613,-112.7726273080913,0.4538806237315187
150,1190.64,-0.054136025940140775,0.007323841575963238,8.239321772958643,-119.90751991556327,2.6996472865947063
155,1690.64,-0.026562234140613428,0.0039668773682673495,4.7652114386311535,-124.10554174815057,4.299192511955067
160,2190.64,-0.012180269564774804,0.0019775156702475536,2.5312200579168684,-126.36657715724787,5.305840834695646
165,2690.64,-0.005247049463751763,0.0009147849842951775,1.2452510598718103,-127.49102750085206,5.8764509510938785
170,3190.64,-0.002134087152784403,0.0003955613435524344,0.5715861414332677,-128.01137583916292,6.171934335384839
175,3690.64,-0.000823389125617302,0.00016092607009401928,0.246418044831467,-128.236986115237,6.313282087829263
180,4190.64,-0.00030270432597212515,0.00006195520543089158,0.10036743279804435,-128.32920258478524,6.376313156120044
185,4690.64,-0.00010647289566023677,0.000022689568185266495,0.03882752355703729,-128.36493316521833,6.402715648838101
190,5190.64,-0.000035967999277186635,0.000007941443490313296,0.014334305500015498,-128.3781220174919,6.413172378674589
195,5690.64,-0.000011710328370773126,0.0000026676112934854353,0.0050717959717391835,-128.38278053640278,6.417110308431443
200,6190.64,-0.000003686318302498215,8.632604030020407E-7,0.0017265208060040812,-128.38436146190685,6.418527464772939
